"NAICS_Code","SIC4","NAICS_Description","SIC_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"112310","0252","Chicken Egg Production","Chicken eggs",619,16395,327350393,1,1,1
"112320","0251","Broilers and Other Meat Type Chicken Production","Broiler, fryer, and roaster chickens",296,8863,192125002,1,1,1
"112330","0253","Turkey Production","Turkeys and turkey eggs",512,9223,209194414,1,1,1
"112340","0254","Poultry Hatcheries","Poultry hatcheries",326,9072,204902232,1,1,1
"112390","0259","Other Poultry Production","Poultry and eggs, nec",149,1863,34119115,1,1,1
"112410","0214","Sheep Farming","Sheep and goats",315,1558,23243336,1,1,1
"112420","0214","Goat Farming","Sheep and goats",315,1558,23243336,1,1,1
"112511","0273","Finfish Farming and Fish Hatcheries","Animal aquaculture",460,4290,89153611,0.73,0.77,0.75
"112511","0921","Finfish Farming and Fish Hatcheries","Fish hatcheries and preserves",171,1258,29928533,0.27,0.23,0.25
"112512","0273","Shellfish Farming","Animal aquaculture",460,4290,89153611,1,1,1
"112519","0273","Other Aquaculture","Animal aquaculture",460,4290,89153611,0.36,0.43,0.42
"112519","0279","Other Aquaculture","Animal specialties, nec",804,5753,123640681,0.64,0.57,0.58
"112910","0279","Apiculture","Animal specialties, nec",804,5753,123640681,1,1,1
"112920","0272","Horses and Other Equine Production","Horses and other equines",1145,6292,115162814,1,1,1
"112930","0271","Fur-Bearing Animal and Rabbit Production","Fur-bearing animals and rabbits",104,877,14150893,1,1,1
"112990","0279","All Other Animal Production","Animal specialties, nec",804,5753,123640681,0.47,0.54,0.58
"112990","0291","All Other Animal Production","General farms, primarily animal",891,4907,87890545,0.53,0.46,0.42
"113110","0811","Timber Tract Operations","Timber tracts",1435,16228,457766564,1,1,1
"113210","0831","Forest Nurseries and Gathering of Forest Products","Forest products",225,2032,34687149,1,1,1
"113310","2411","Logging","Logging",13920,81075,2034302359,1,1,1
"114111","0912","Finfish Fishing","Finfish",1912,5388,246950068,1,1,1
"114112","0913","Shellfish Fishing","Shellfish",1097,3669,110907701,1,1,1
"114119","0919","Other Marine Fishing","Miscellaneous marine products",46,479,10682342,1,1,1
"114210","0971","Hunting and Trapping ","Hunting, trapping, game propagation",237,1404,23432224,1,1,1
"115111","0724","Cotton Ginning","Cotton ginning",1070,11549,245354625,1,1,1
"115112","0711","Soil Preparation, Planting, and Cultivating","Soil preparation services",722,4466,111207096,1,1,1
"115113","0722","Crop Harvesting, Primarily by Machine","Crop harvesting",970,13735,218130755,1,1,1
"115114","0723","Postharvest Crop Activities (except Cotton Ginning)","Crop preparation services for market",1986,69813,1328476393,1,1,1
"115115","0761","Farm Labor Contractors and Crew Leaders","Farm labor contractors",2496,160304,1451513937,1,1,1
"115116","0762","Farm Management Services","Farm management services",943,18487,328664808,1,1,1
"115210","0751","Support Activities for Animal Production","Livestock services, exc. veterinary",1642,12279,230537787,1,1,1
"115310","0851","Support Activities for Forestry","Forestry services",2109,16847,435198484,1,1,1
"211111","1311","Crude petroleum & natural gas extraction","Crude petroleum and natural gas",8577,143766,10079760545,1,1,1
"211112","1321","Natural gas liquid extraction","Natural gas liquids",198,4979,292956528,1,1,1
"212111","1221","Bituminous coal & lignite surface mining","Bituminous coal and lignite surface",1062,40054,2003925594,1,1,1
"212112","1222","Bituminous coal underground mining","Bituminous coal underground",844,49841,2466641602,1,1,1
"212113","1231","Anthracite mining","Anthracite mining",72,1288,44456218,1,1,1
"212210","1011","Iron ore mining","Iron ores",36,8632,440839150,1,1,1
"212221","1041","Gold ore mining","Gold ores",396,17191,920672451,1,1,1
"212222","1044","Silver ore mining","Silver ores",33,1649,76476890,1,1,1
"212231","1031","Lead ore & zinc ore mining","Lead and zinc ores",21,2382,109157773,1,1,1
"212234","1021","Copper ore & nickel ore mining","Copper ores",63,15642,783723511,0.64,0.92,0.92
"212234","1099","Copper ore & nickel ore mining","Metal ores, nec",36,1413,68560760,0.36,0.08,0.08
"212291","1094","Uranium~radium~vanadium ore mining","Uranium-radium-vanadium ores",44,1172,53581304,1,1,1
"212299","1099","All other metal ore mining","Metal ores, nec",36,1413,68560760,1,1,1
"212311","1411","Dimension stone mining & quarrying","Dimension stone",350,4850,142479569,1,1,1
"212312","1422","Crushed & broken limestone mining & quarrying","Crushed and broken limestone",1292,28508,1048982265,1,1,1
"212313","1423","Crushed & broken granite mining & quarrying","Crushed and broken granite",200,4840,191951273,1,1,1
"212319","1429","Other crushed & broken stone mining & quarrying","Crushed and broken stone, nec",469,8349,332185161,0.59,0.62,0.65
"212319","1499","Other crushed & broken stone mining & quarrying","Miscellaneous nonmetallic minerals",331,5151,180896391,0.41,0.38,0.35
"212321","1442","Construction sand & gravel mining","Construction sand and gravel",2498,32775,1186634089,1,1,1
"212322","1446","Industrial sand mining","Industrial sand",147,3453,132298228,1,1,1
"212324","1455","Kaolin & ball clay mining","Kaolin and ball clay",49,4269,193098891,1,1,1
"212325","1459","Clay & ceramic & refractory minerals mining","Clay and related minerals, nec",128,3157,109971258,1,1,1
"212391","1474","Potash, soda, & borate mineral mining","Potash, soda, and borate minerals",32,4737,252062477,1,1,1
"212392","1475","Phosphate rock mining","Phosphate rock",24,3336,143087423,1,1,1
"212393","1479","Other chemical & fertilizer mineral mining","Chemical and fertilizer mining, nec",88,3749,189809942,1,1,1
"212399","1499","All other nonmetallic mineral mining","Miscellaneous nonmetallic minerals",331,5151,180896391,1,1,1
"213111","1381","Drilling oil & gas wells","Drilling oil and gas wells",1492,56180,2277553254,1,1,1
"213112","1382","Support activities for oil & gas operations","Oil and gas exploration services",1687,22779,1266566384,0.2,0.17,0.23
"213112","1389","Support activities for oil & gas operations","Oil and gas field services, nec",6963,110301,4310885293,0.8,0.83,0.77
"213113","1241","Support activities for coal mining","Coal mining services",331,4763,189523208,1,1,1
"213114","1081","Support activities for metal mining","Metal mining services",355,3972,187570366,1,1,1
"213115","1481","Support activities for nonmetallic minerals (except fuels)","Nonmetallic minerals services",168,1385,53736358,1,1,1
"221111","4911","Hydroelectric power generation","Electric services",7062,428488,23355213636,0.83,0.72,0.72
"221111","4931","Hydroelectric power generation","Electric and other services combined",1297,147373,8253057990,0.15,0.25,0.25
"221111","4939","Hydroelectric power generation","Combination utilities, nec",145,15636,783876392,0.02,0.03,0.02
"221112","4911","Fossil fuel electric power generation","Electric services",7062,428488,23355213636,0.83,0.72,0.72
"221112","4931","Fossil fuel electric power generation","Electric and other services combined",1297,147373,8253057990,0.15,0.25,0.25
"221112","4939","Fossil fuel electric power generation","Combination utilities, nec",145,15636,783876392,0.02,0.03,0.02
"221113","4911","Nuclear electric power generation","Electric services",7062,428488,23355213636,0.84,0.74,0.74
"221113","4931","Nuclear electric power generation","Electric and other services combined",1297,147373,8253057990,0.16,0.26,0.26
"221119","4911","Other electric power generation","Electric services",7062,428488,23355213636,0.83,0.72,0.72
"221119","4931","Other electric power generation","Electric and other services combined",1297,147373,8253057990,0.15,0.25,0.25
"221119","4939","Other electric power generation","Combination utilities, nec",145,15636,783876392,0.02,0.03,0.02
"221121","4911","Electric bulk power transmission & control","Electric services",7062,428488,23355213636,0.83,0.72,0.72
"221121","4931","Electric bulk power transmission & control","Electric and other services combined",1297,147373,8253057990,0.15,0.25,0.25
"221121","4939","Electric bulk power transmission & control","Combination utilities, nec",145,15636,783876392,0.02,0.03,0.02
"221122","4911","Electric power distribution","Electric services",7062,428488,23355213636,0.83,0.72,0.72
"221122","4931","Electric power distribution","Electric and other services combined",1297,147373,8253057990,0.15,0.25,0.25
"221122","4939","Electric power distribution","Combination utilities, nec",145,15636,783876392,0.02,0.03,0.02
"221210","4923","Natural gas distribution","Gas transmission and distribution",1216,39201,2187477468,0.24,0.14,0.14
"221210","4924","Natural gas distribution","Natural gas distribution",2231,74841,3667025144,0.43,0.26,0.24
"221210","4925","Natural gas distribution","Gas production and/or distribution",194,6655,340936319,0.04,0.02,0.02
"221210","4931","Natural gas distribution","Electric and other services combined",1297,147373,8253057990,0.25,0.52,0.54
"221210","4932","Natural gas distribution","Gas and other services combined",69,1813,53750510,0.01,0.01,0
"221210","4939","Natural gas distribution","Combination utilities, nec",145,15636,783876392,0.03,0.05,0.05
"221310","4941","Water supply & irrigation systems","Water supply",7834,116809,3881883753,0.95,0.97,0.98
"221310","4971","Water supply & irrigation systems","Irrigation systems",437,3149,95089062,0.05,0.03,0.02
"221320","4952","Sewage treatment facilities","Sewerage systems",2827,59259,2137359313,1,1,1
"221330","4961","Steam & air~conditioning supply","Steam and air-conditioning supply",108,1789,84964771,1,1,1
"233110","6552","Land subdivision & land development","Subdividers and developers, nec",11314,72054,2895805646,1,1,1
"233210","1521","Single~family housing construction","Single-family housing construction",162088,630621,17395308200,0.81,0.65,0.52
"233210","1531","Single~family housing construction","Operative builders",3109,26907,1139271205,0.02,0.03,0.03
"233210","8741","Single~family housing construction","Management services",34224,318709,15128592752,0.17,0.33,0.45
"233220","1522","Multifamily housing construction","Residential construction, nec",7616,48547,1499434986,0.17,0.12,0.08
"233220","1531","Multifamily housing construction","Operative builders",3109,26907,1139271205,0.07,0.07,0.06
"233220","8741","Multifamily housing construction","Management services",34224,318709,15128592752,0.76,0.81,0.85
"233310","1531","Mfg & industrial building construction","Operative builders",3109,26907,1139271205,0.07,0.05,0.05
"233310","1541","Mfg & industrial building construction","Industrial buildings and warehouses",9280,171957,6589856607,0.2,0.33,0.29
"233310","8741","Mfg & industrial building construction","Management services",34224,318709,15128592752,0.73,0.62,0.66
"233320","1522","Commercial & institutional building construction","Residential construction, nec",7616,48547,1499434986,0.09,0.05,0.04
"233320","1531","Commercial & institutional building construction","Operative builders",3109,26907,1139271205,0.04,0.03,0.03
"233320","1541","Commercial & institutional building construction","Industrial buildings and warehouses",9280,171957,6589856607,0.11,0.17,0.16
"233320","1542","Commercial & institutional building construction","Nonresidential construction, nec",33573,432878,16068689662,0.38,0.43,0.4
"233320","8741","Commercial & institutional building construction","Management services",34224,318709,15128592752,0.39,0.32,0.37
"234110","1611","Highway & street construction","Highway and street construction",10026,234928,8708688487,0.23,0.42,0.37
"234110","8741","Highway & street construction","Management services",34224,318709,15128592752,0.77,0.58,0.63
"234120","1622","Bridge & tunnel construction","Bridge, tunnel, & elevated highway",1726,49699,2032265106,0.05,0.13,0.12
"234120","8741","Bridge & tunnel construction","Management services",34224,318709,15128592752,0.95,0.87,0.88
"234910","1623","Water, sewer, & pipeline construction","Water, sewer, and utility lines",14066,240813,8162142752,0.29,0.43,0.35
"234910","8741","Water, sewer, & pipeline construction","Management services",34224,318709,15128592752,0.71,0.57,0.65
"234920","1623","Power & communication transmission line construction","Water, sewer, and utility lines",14066,240813,8162142752,0.29,0.43,0.35
"234920","8741","Power & communication transmission line construction","Management services",34224,318709,15128592752,0.71,0.57,0.65
"234930","1629","Industrial nonbuilding structure construction","Heavy construction, nec",17680,267156,9941494246,0.34,0.46,0.4
"234930","8741","Industrial nonbuilding structure construction","Management services",34224,318709,15128592752,0.66,0.54,0.6
"234990","1629","All other heavy construction","Heavy construction, nec",17680,267156,9941494246,0.31,0.42,0.37
"234990","7353","All other heavy construction","Heavy construction equipment rental",4244,46054,1746676384,0.08,0.07,0.07
"234990","8741","All other heavy construction","Management services",34224,318709,15128592752,0.61,0.5,0.56
"235110","1711","Plumbing, heating, & air~conditioning contractors","Plumbing, heating, air-conditioning",89342,793715,26259265267,1,1,1
"235210","1721","Painting & wall covering contractors","Painting and paper hanging",38940,195915,4781301650,0.53,0.43,0.4
"235210","1799","Painting & wall covering contractors","Special trade contractors, nec",34048,256193,7154169241,0.47,0.57,0.6
"235310","1731","Electrical contractors","Electrical work",69189,678113,23773304702,1,1,1
"235410","1741","Masonry & stone contractors","Masonry and other stonework",25347,164716,4185395136,1,1,1
"235420","1742","Drywall, plastering, acoustical, & insulation contractors","Plastering, drywall, and insulation",21810,257648,7261371431,0.34,0.44,0.45
"235420","1743","Drywall, plastering, acoustical, & insulation contractors","Terrazzo, tile, marble, mosaic work",7405,39145,1071214689,0.12,0.07,0.07
"235420","1771","Drywall, plastering, acoustical, & insulation contractors","Concrete work",34148,285993,7824700709,0.54,0.49,0.48
"235430","1743","Tile, marble, terrazzo, & mosaic contractors","Terrazzo, tile, marble, mosaic work",7405,39145,1071214689,1,1,1
"235510","1751","Carpentry contractors","Carpentry work",38924,194366,4886836827,1,1,1
"235520","1752","Floor laying & other floor contractors","Floor laying and floor work, nec",13066,60894,1725556254,1,1,1
"235610","1761","Roofing, siding, & sheet metal contractors","Roofing, siding, and sheet metal work",31012,231907,5953284988,1,1,1
"235710","1771","Concrete contractors","Concrete work",34148,285993,7824700709,1,1,1
"235810","1781","Water well drilling contractors","Water well drilling",4250,22435,621306094,1,1,1
"235910","1791","Structural steel erection contractors","Structural steel erection",5941,75896,2580623518,1,1,1
"235920","1793","Glass & glazing contractors","Glass and glazing work",5243,40748,1249693716,0.13,0.14,0.15
"235920","1799","Glass & glazing contractors","Special trade contractors, nec",34048,256193,7154169241,0.87,0.86,0.85
"235930","1794","Excavation contractors","Excavation work",22754,145107,4369952614,1,1,1
"235940","1795","Wrecking & demolition contractors","Wrecking and demolition work",1688,15912,539379661,1,1,1
"235950","1796","Building equip & other machinery installation contractors","Installing building equipment, nec",6521,77295,3275739678,1,1,1
"235990","1799","All other special trade contractors","Special trade contractors, nec",34048,256193,7154169241,1,1,1
"311111","2047","Dog & cat food mfg","Dog and cat food",240,19521,851360029,1,1,1
"311119","2048","Other animal food mfg","Prepared feeds, nec",1794,40295,1279887686,1,1,1
"311211","2034","Flour milling","Dehydrated fruits, vegetables, soups",251,17872,569237170,0.4,0.48,0.38
"311211","2041","Flour milling","Flour and other grain mill products",373,18991,931021107,0.6,0.52,0.62
"311212","2044","Rice milling","Rice milling",79,5098,165406405,1,1,1
"311213","2083","Malt mfg","Malt",37,1307,61506807,1,1,1
"311221","2046","Wet corn milling","Wet corn milling",76,10161,523289807,1,1,1
"311222","2075","Soybean processing","Soybean oil mills",117,9943,405461812,1,1,1
"311223","2074","Other oilseed processing","Cottonseed oil mills",54,2578,72067542,0.53,0.65,0.61
"311223","2076","Other oilseed processing","Vegetable oil mills, nec",47,1399,45948896,0.47,0.35,0.39
"311225","2074","Fats & oils refining & blending","Cottonseed oil mills",54,2578,72067542,0.09,0.08,0.06
"311225","2075","Fats & oils refining & blending","Soybean oil mills",117,9943,405461812,0.19,0.31,0.33
"311225","2076","Fats & oils refining & blending","Vegetable oil mills, nec",47,1399,45948896,0.08,0.04,0.04
"311225","2077","Fats & oils refining & blending","Animal and marine fats and oils",267,8804,302620071,0.44,0.27,0.24
"311225","2079","Fats & oils refining & blending","Edible fats and oils, nec",116,9782,418428808,0.19,0.3,0.34
"311230","2043","Breakfast cereal mfg","Cereal breakfast foods",77,18484,1122526316,1,1,1
"311311","2061","Sugarcane mills","Raw cane sugar",44,5121,182289302,1,1,1
"311312","2062","Cane sugar refining","Cane sugar refining",35,4358,224773184,1,1,1
"311313","2063","Beet sugar mfg","Beet sugar",59,8270,272245490,1,1,1
"311320","2066","Chocolate & confectionery mfg from cacao beans","Chocolate and cocoa products",117,13021,545060652,1,1,1
"311330","2064","Confectionery mfg from purchased chocolate","Candy & other confectionery products",894,54053,1577933919,0.17,0.63,0.82
"311330","5441","Confectionery mfg from purchased chocolate","Candy, nut, and confectionery stores",4450,31132,353669552,0.83,0.37,0.18
"311340","2064","Nonchocolate confectionery mfg","Candy & other confectionery products",894,54053,1577933919,0.12,0.35,0.38
"311340","2099","Nonchocolate confectionery mfg","Food preparations, nec",2026,71421,2186627974,0.27,0.46,0.53
"311340","5441","Nonchocolate confectionery mfg","Candy, nut, and confectionery stores",4450,31132,353669552,0.6,0.2,0.09
"311411","2037","Frozen fruit, juice, & vegetable mfg","Frozen fruits and vegetables",305,48820,1235300568,1,1,1
"311412","2038","Frozen specialty food mfg","Frozen specialties, nec",487,51467,1381397539,1,1,1
"311421","2033","Fruit & vegetable canning","Canned fruits and vegetables",836,69798,2223341758,0.66,0.76,0.75
"311421","2035","Fruit & vegetable canning","Pickles, sauces, and salad dressings",424,21810,734472515,0.34,0.24,0.25
"311422","2032","Specialty canning","Canned specialties",144,18540,785339004,1,1,1
"311423","2034","Dried & dehydrated food mfg","Dehydrated fruits, vegetables, soups",251,17872,569237170,0.11,0.2,0.21
"311423","2099","Dried & dehydrated food mfg","Food preparations, nec",2026,71421,2186627974,0.89,0.8,0.79
"311511","2026","Fluid milk mfg","Fluid milk",762,62168,2261627689,1,1,1
"311512","2021","Creamery butter mfg","Creamery butter",41,1842,63460292,1,1,1
"311513","2022","Cheese mfg","Cheese, natural and processed",545,39849,1432398211,1,1,1
"311514","2023","Dry, condensed, & evaporated dairy product mfg","Dry, condensed, evaporated products",232,16544,720349960,1,1,1
"311520","2024","Ice cream & frozen dessert mfg","Ice cream and frozen desserts",431,22448,728396569,1,1,1
"311611","2011","Animal (except poultry) slaughtering","Meat packing plants",1433,149439,3699715071,0.44,0.79,0.74
"311611","2048","Animal (except poultry) slaughtering","Prepared feeds, nec",1794,40295,1279887686,0.56,0.21,0.26
"311612","2013","Meat processed from carcasses","Sausages and other prepared meats",1356,94698,2620662595,0.23,0.63,0.6
"311612","5147","Meat processed from carcasses","Meats and meat products",4617,55489,1739539506,0.77,0.37,0.4
"311613","2077","Rendering & meat byproduct processing","Animal and marine fats and oils",267,8804,302620071,1,1,1
"311615","2015","Poultry processing","Poultry slaughtering and processing",663,243671,4752832287,1,1,1
"311711","2077","Seafood canning","Animal and marine fats and oils",267,8804,302620071,0.53,0.52,0.6
"311711","2091","Seafood canning","Canned and cured fish and seafoods",240,8097,200820367,0.47,0.48,0.4
"311712","2077","Fresh & frozen seafood processing","Animal and marine fats and oils",267,8804,302620071,0.21,0.16,0.23
"311712","2092","Fresh & frozen seafood processing","Fresh or frozen prepared fish",978,44915,998346730,0.79,0.84,0.77
"311811","5461","Retail bakeries","Retail bakeries",22168,203049,2447824503,1,1,1
"311812","2051","Commercial bakeries","Bread, cake, and related products",2902,148110,4488176621,0.86,0.75,0.73
"311812","2052","Commercial bakeries","Cookies and crackers",464,49754,1663286689,0.14,0.25,0.27
"311813","2053","Frozen cakes, pies, & other pastries mfg","Frozen bakery products, except bread",171,10602,315937127,1,1,1
"311821","2052","Cookie & cracker mfg","Cookies and crackers",464,49754,1663286689,1,1,1
"311822","2045","Flour mixes & dough mfg from purchased flour","Prepared flour mixes and doughs",229,13403,432409488,1,1,1
"311823","2098","Dry pasta mfg","Macaroni and spaghetti",242,7793,226990894,1,1,1
"311830","2099","Tortilla mfg","Food preparations, nec",2026,71421,2186627974,1,1,1
"311911","2068","Roasted nuts & peanut butter mfg","Salted and roasted nuts and seeds",119,7962,232012734,0.06,0.1,0.1
"311911","2099","Roasted nuts & peanut butter mfg","Food preparations, nec",2026,71421,2186627974,0.94,0.9,0.9
"311919","2052","Other snack food mfg","Cookies and crackers",464,49754,1663286689,0.58,0.61,0.62
"311919","2096","Other snack food mfg","Potato chips and similar snacks",336,32140,1023470090,0.42,0.39,0.38
"311920","2043","Coffee & tea mfg","Cereal breakfast foods",77,18484,1122526316,0.03,0.18,0.3
"311920","2095","Coffee & tea mfg","Roasted coffee",222,10447,420856385,0.1,0.1,0.11
"311920","2099","Coffee & tea mfg","Food preparations, nec",2026,71421,2186627974,0.87,0.71,0.59
"311930","2087","Flavoring syrup & concentrate mfg","Flavoring extracts and syrups, nec",376,20514,1317366695,1,1,1
"311941","2035","Mayonnaise, dressing, & other prepared sauce mfg","Pickles, sauces, and salad dressings",424,21810,734472515,0.17,0.23,0.25
"311941","2099","Mayonnaise, dressing, & other prepared sauce mfg","Food preparations, nec",2026,71421,2186627974,0.83,0.77,0.75
"311942","2087","Spice & extract mfg","Flavoring extracts and syrups, nec",376,20514,1317366695,0.1,0.14,0.22
"311942","2095","Spice & extract mfg","Roasted coffee",222,10447,420856385,0.06,0.07,0.07
"311942","2099","Spice & extract mfg","Food preparations, nec",2026,71421,2186627974,0.52,0.49,0.36
"311942","2899","Spice & extract mfg","Chemical preparations, nec",1278,42540,2094458241,0.33,0.29,0.35
"311991","2099","Perishable prepared food mfg","Food preparations, nec",2026,71421,2186627974,1,1,1
"311999","2015","All other miscellaneous food mfg","Poultry slaughtering and processing",663,243671,4752832287,0.21,0.69,0.53
"311999","2032","All other miscellaneous food mfg","Canned specialties",144,18540,785339004,0.04,0.05,0.09
"311999","2087","All other miscellaneous food mfg","Flavoring extracts and syrups, nec",376,20514,1317366695,0.12,0.06,0.15
"311999","2099","All other miscellaneous food mfg","Food preparations, nec",2026,71421,2186627974,0.63,0.2,0.24
"312111","2086","Soft drink mfg","Bottled and canned soft drinks",961,95308,3438838315,1,1,1
"312112","2086","Bottled water mfg","Bottled and canned soft drinks",961,95308,3438838315,1,1,1
"312113","2097","Ice mfg","Manufactured ice",655,7364,162770132,1,1,1
"312120","2082","Breweries","Malt beverages",449,35017,1902682827,1,1,1
"312130","2084","Wineries","Wines, brandy, and brandy spirits",763,22449,708630095,1,1,1
"312140","2085","Distilleries","Distilled and blended liquors",70,7594,436531485,1,1,1
"312210","2141","Tobacco stemming & redrying","Tobacco stemming and redrying",56,6954,163763814,1,1,1
"312221","2111","Cigarette mfg","Cigarettes",33,28078,1877370399,1,1,1
"312229","2121","Other tobacco product mfg","Cigars",49,3151,93449811,0.36,0.24,0.22
"312229","2131","Other tobacco product mfg","Chewing and smoking tobacco",31,3051,167099969,0.23,0.23,0.39
"312229","2141","Other tobacco product mfg","Tobacco stemming and redrying",56,6954,163763814,0.41,0.53,0.39
"313111","2281","Yarn spinning mills","Yarn spinning mills",428,63393,1546092675,0.52,0.78,0.74
"313111","2299","Yarn spinning mills","Textile goods, nec",389,18255,550438889,0.48,0.22,0.26
"313112","2282","Yarn texturing, throwing, & twisting mills","Throwing and winding mills",162,16520,446137703,1,1,1
"313113","2284","Thread mills","Thread mills",85,6904,179123776,0.18,0.27,0.25
"313113","2299","Thread mills","Textile goods, nec",389,18255,550438889,0.82,0.73,0.75
"313210","2211","Broadwoven fabric mills","Broadwoven fabric mills, cotton",440,72547,1929039885,0.32,0.43,0.41
"313210","2221","Broadwoven fabric mills","Broadwoven fabric mills, manmade",441,63815,1882801089,0.32,0.38,0.4
"313210","2231","Broadwoven fabric mills","Broadwoven fabric mills, wool",106,14190,374910167,0.08,0.08,0.08
"313210","2299","Broadwoven fabric mills","Textile goods, nec",389,18255,550438889,0.28,0.11,0.12
"313221","2241","Narrow fabric mills","Narrow fabric mills",345,21477,525035538,0.47,0.54,0.49
"313221","2299","Narrow fabric mills","Textile goods, nec",389,18255,550438889,0.53,0.46,0.51
"313222","2397","Schiffli machine embroidery","Schiffli machine embroideries",214,3054,68832871,1,1,1
"313230","2297","Nonwoven fabric mills","Nonwoven fabrics",111,12758,522388550,0.22,0.41,0.49
"313230","2299","Nonwoven fabric mills","Textile goods, nec",389,18255,550438889,0.78,0.59,0.51
"313241","2257","Weft knit fabric mills","Weft knit fabric mills",294,25050,659891597,1,1,1
"313249","2258","Other knit fabric & lace mills","Lace & warp knit fabric mills",203,18415,535139641,0.72,0.84,0.87
"313249","2259","Other knit fabric & lace mills","Knitting mills, nec",80,3384,80850197,0.28,0.16,0.13
"313311","2231","Broadwoven fabric finishing mills","Broadwoven fabric mills, wool",106,14190,374910167,0.01,0.12,0.09
"313311","2261","Broadwoven fabric finishing mills","Finishing plants, cotton",745,31328,782239711,0.09,0.26,0.19
"313311","2262","Broadwoven fabric finishing mills","Finishing plants, manmade",336,21582,607476385,0.04,0.18,0.15
"313311","5131","Broadwoven fabric finishing mills","Piece goods & notions",7132,51550,2255261236,0.86,0.43,0.56
"313312","2231","Textile & fabric finishing mills","Broadwoven fabric mills, wool",106,14190,374910167,0.01,0.09,0.07
"313312","2257","Textile & fabric finishing mills","Weft knit fabric mills",294,25050,659891597,0.03,0.15,0.12
"313312","2258","Textile & fabric finishing mills","Lace & warp knit fabric mills",203,18415,535139641,0.02,0.11,0.1
"313312","2269","Textile & fabric finishing mills","Finishing plants, nec",241,14821,408522907,0.03,0.09,0.08
"313312","2282","Textile & fabric finishing mills","Throwing and winding mills",162,16520,446137703,0.02,0.1,0.08
